,DRUG/NARCOTIC OFFENSES,LARCENY-THEFT,ROBBERY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,FRAUD OFFENSES,KIDNAPPING/ABDUCTION,COUNTERFEITING/FORGERY,PORNOGRAPHY/OBSCENE MATERIAL,EXTORTION/BLACKMAIL,MOTOR VEHICLE THEFT,SEX OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,WEAPON LAW VIOLATIONS,ARSON,HUMAN TRAFFICKING,LIQUOR LAW VIOLATIONS,BAD CHECKS,PROSTITUTION OFFENSES,"FAMILY OFFENSES, NONVIOLENT",CURFEW/LOITERING/VAGRANCY VIOLATIONS,ANIMAL CRUELTY,HOMICIDE OFFENSES,PEEPING TOM,"SEX OFFENSES, CONSENSUAL",DRUNKENNESS,BRIBERY,GAMBLING OFFENSES,TRESPASS OF REAL PROPERTY,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING
COLUMBIA CITY,125.0,1694.0,199.0,576.0,63.0,320.0,15.0,25.0,3.0,0.0,495.0,37.0,26.0,5.0,66.0,12.0,0.0,9.0,49.0,16.0,112.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,98.0,1026.0,832.0
GEORGETOWN,361.0,3521.0,206.0,1322.0,397.0,374.0,14.0,112.0,0.0,4.0,838.0,55.0,141.0,80.0,111.0,28.0,0.0,17.0,115.0,75.0,72.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,311.0,1415.0,1302.0
FIRST HILL,825.0,8385.0,536.0,2599.0,441.0,1602.0,36.0,115.0,7.0,28.0,1040.0,275.0,108.0,43.0,261.0,43.0,2.0,59.0,132.0,14.0,532.0,20.0,1.0,11.0,2.0,6.0,0.0,0.0,0.0,1435.0,5410.0,2444.0
QUEEN ANNE,463.0,19162.0,470.0,3813.0,966.0,2831.0,36.0,232.0,5.0,29.0,2946.0,201.0,148.0,78.0,194.0,65.0,0.0,103.0,272.0,28.0,307.0,5.0,2.0,16.0,6.0,5.0,1.0,0.0,0.0,1014.0,4364.0,6588.0
SODO,514.0,6074.0,328.0,1506.0,448.0,577.0,14.0,69.0,3.0,6.0,763.0,78.0,124.0,100.0,193.0,42.0,5.0,42.0,94.0,22.0,66.0,23.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,533.0,2059.0,1046.0
CENTRAL AREA/SQUIRE PARK,727.0,6580.0,691.0,2656.0,445.0,1384.0,24.0,101.0,13.0,28.0,1222.0,144.0,108.0,33.0,283.0,27.0,0.0,43.0,127.0,18.0,341.0,21.0,0.0,21.0,4.0,4.0,0.0,0.0,2.0,868.0,4028.0,2610.0
MID BEACON HILL,179.0,2305.0,335.0,1037.0,174.0,565.0,23.0,38.0,0.0,11.0,1080.0,53.0,60.0,4.0,113.0,17.0,0.0,16.0,88.0,4.0,274.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,131.0,1688.0,1735.0
ALASKA JUNCTION,121.0,4649.0,242.0,1154.0,265.0,1004.0,5.0,69.0,6.0,8.0,909.0,56.0,29.0,28.0,51.0,11.0,0.0,21.0,102.0,13.0,132.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,262.0,1456.0,1589.0
FREMONT,274.0,6490.0,172.0,1552.0,431.0,895.0,17.0,49.0,1.0,9.0,1487.0,62.0,73.0,24.0,100.0,19.0,0.0,21.0,100.0,24.0,98.0,3.0,1.0,5.0,8.0,3.0,0.0,0.0,0.0,359.0,1672.0,2550.0
NORTH ADMIRAL,89.0,3234.0,141.0,918.0,186.0,832.0,7.0,39.0,4.0,7.0,586.0,70.0,22.0,16.0,49.0,28.0,0.0,27.0,62.0,1.0,107.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,147.0,1055.0,1023.0
